time,round_number,time_used,performance_rps,cpu0 GHz,cpu1 GHz,cpu2 GHz,cpu3 GHz,cpu4 GHz,cpu5 GHz,cpu6 GHz,cpu7 GHz,cpu0 governor,cpu1 governor,cpu2 governor,cpu3 governor,cpu4 governor,cpu5 governor,cpu6 governor,cpu7 governor,fan_speed (x1000),thermal0 (x10),thermal1 (x10),thermal2 (x10),thermal3 (x10),thermal4 (x10),thermal5 (x10),thermal6 (x10)
2018-07-22T15:58:57+1000,1,0.405781303,2.4643816573283566,3.4009630000000004,3.4018159999999997,3.402383,3.40002,3.401248,3.401048,3.401926,3.401984,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,0.0,4.2,2.0,3.4,4.1,3.4,4.1,4.1
2018-07-22T15:58:58+1000,2,0.401849033,2.4884967186172124,3.40008,3.4,3.4001069999999998,3.400076,3.400028,3.399947,3.400044,3.40014,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,0.0,4.2,2.0,3.4,4.1,3.4,4.1,4.9
2018-07-22T15:58:58+1000,3,0.402567466,2.484055678756713,3.4000839999999997,3.399946,3.400074,3.400102,3.397962,3.4000030000000003,3.398701,3.3943760000000003,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,0.0,4.2,2.0,3.4,4.1,3.4,4.1,4.9
2018-07-22T15:58:59+1000,4,0.402340117,2.4854593358881982,3.4001069999999998,3.4,3.400126,3.400159,3.400104,3.4000079999999997,3.400132,3.400131,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,0.0,4.2,2.0,3.4,4.1,3.4,4.1,5.0
2018-07-22T15:58:59+1000,5,0.401808103,2.4887502082057313,3.400054,3.4,3.400131,3.400031,3.4000500000000002,3.399985,3.400018,3.4001219999999996,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,0.0,4.2,2.0,3.4,4.1,3.4,4.1,5.0
2018-07-22T15:58:59+1000,6,0.417412298,2.395712835466098,3.400009,3.4,3.4000079999999997,3.400165,3.400054,3.4,3.400047,3.400136,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,0.0,4.2,2.0,3.4,4.1,3.4,4.1,5.2
2018-07-22T15:59:00+1000,7,0.401926373,2.4880178738606933,3.400099,3.4,3.400125,3.400032,3.4001170000000003,3.399992,3.400066,3.400086,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,0.0,4.25,2.0,3.4,4.1,3.4,4.1,5.0
2018-07-22T15:59:00+1000,8,0.402399317,2.4850936812102,3.4000850000000002,3.399954,3.400056,3.400068,3.398206,3.400004,3.395553,3.389126,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,0.0,4.2,2.0,3.4,4.4,3.4,4.4,5.1
2018-07-22T15:59:01+1000,9,0.402314789,2.48561580966391,3.40008,3.399993,3.4001300000000003,3.4000459999999997,3.399057,3.3994050000000002,3.4000850000000002,3.396353,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,0.0,4.25,2.0,3.4,4.4,3.4,4.4,5.1
2018-07-22T15:59:01+1000,10,0.402099093,2.486949156087751,3.400067,3.4,3.4000749999999997,3.4000239999999997,3.4000839999999997,3.399997,3.400083,3.4002220000000003,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,0.0,4.25,2.0,3.4,4.4,3.4,4.4,5.1
2018-07-22T15:59:01+1000,11,0.402322947,2.485565408229126,3.400036,3.399946,3.400052,3.396948,3.3983659999999998,3.39999,3.397329,3.3889,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,0.0,4.25,2.0,3.4,4.4,3.4,4.4,5.1
2018-07-22T15:59:02+1000,12,0.402111051,2.4868751990603712,3.4000850000000002,3.4,3.400112,3.399998,3.400095,3.399998,3.4000790000000003,3.400154,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,0.0,4.3,2.0,3.4,4.4,3.4,4.4,5.2
2018-07-22T15:59:02+1000,13,0.402400609,2.485085702243557,3.400102,3.399942,3.39996,3.400061,3.396058,3.4,3.39729,3.395598,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,0.0,4.3,2.0,3.4,4.9,3.4,4.9,5.2
2018-07-22T15:59:03+1000,14,0.402013332,2.4874796938326416,3.400164,3.3999989999999998,3.400014,3.4001129999999997,3.400055,3.400016,3.400047,3.4002440000000003,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,0.0,4.3,2.0,3.4,4.9,3.4,4.9,5.2
2018-07-22T15:59:03+1000,15,0.40183538,2.488581269274995,3.400055,3.4,3.400097,3.400033,3.400087,3.39999,3.400026,3.400219,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,0.0,4.35,2.0,3.4,4.9,3.4,4.9,5.3
2018-07-22T15:59:03+1000,16,0.403262264,2.4797757917661247,3.4000410000000003,3.3999099999999998,3.4000749999999997,3.396678,3.398193,3.399954,3.397847,3.3707979999999997,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,0.0,4.35,2.0,3.4,4.9,3.4,4.9,5.3
2018-07-22T15:59:04+1000,17,0.401947334,2.4878881271544895,3.4000700000000004,3.3999989999999998,3.400153,3.400035,3.40016,3.4,3.400096,3.400094,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,0.0,4.35,2.0,3.4,4.9,3.4,4.9,5.3
