report_number,number_of_rounds,cpu0 GHz,cpu1 GHz,cpu2 GHz,cpu3 GHz,cpu4 GHz,cpu5 GHz,cpu6 GHz,cpu7 GHz,cpu0 governor,cpu1 governor,cpu2 governor,cpu3 governor,cpu4 governor,cpu5 governor,cpu6 governor,cpu7 governor,fan_speed (x1000),thermal0 (x10),thermal1 (x10),thermal2 (x10),thermal3 (x10),thermal4 (x10),thermal5 (x10),thermal6 (x10)
1,24,3.338761,3.236205,3.2353739999999998,3.394265,3.3664270000000003,3.388945,3.3940740000000003,3.236201,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,5.928,6.15,2.0,3.5,8.0,6.3,8.0,8.1
2,23,3.3191840000000004,3.21777,3.216229,3.3874389999999996,3.3623629999999998,3.380306,3.392238,3.21777,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,6.482,6.2,2.0,3.5,8.0,6.7,8.0,8.1
3,23,3.345199,3.224798,3.222833,3.3951599999999997,3.3802,3.385081,3.3946959999999997,3.225038,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,6.486,6.2,2.0,3.5,8.1,6.7,8.1,8.1
4,23,3.098672,3.098661,3.098639,3.0983539999999996,3.0844810000000003,3.09895,3.099304,3.098815,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,6.475,6.2,2.0,3.5,8.1,6.7,8.1,8.1
5,3,0.400031,0.188051,0.182222,0.40004,0.211822,0.400037,0.400024,0.400028,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,5.163,5.45,2.0,3.5,5.6,6.2,5.6,4.9
6,1,0.400061,0.180083,0.177935,0.203451,0.40003,0.40004399999999996,0.40004,0.400032,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,4.076,5.15,2.0,3.5,5.2,5.4,5.2,4.6
8,1,0.201982,0.18267,0.356194,0.197453,0.196449,0.375286,0.17743199999999998,0.360133,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,3.472,4.95,2.0,3.5,5.0,4.9,5.0,4.5
9,1,0.27913099999999996,0.26778199999999996,0.263115,0.366596,0.298451,0.19869399999999998,0.400024,0.40001299999999995,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,0.0,4.9,2.0,3.5,4.9,4.9,4.9,4.4
10,4,1.399999,1.4,1.399999,1.400058,1.399989,1.399999,1.4,1.4000329999999999,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,0.0,4.9,2.0,3.5,4.8,4.6,4.8,4.8
11,10,1.627698,1.612443,1.612752,1.628125,1.6127449999999999,1.621387,1.6394490000000002,1.6363219999999998,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,0.0,4.9,2.0,3.5,4.9,4.7,4.9,5.0
12,13,1.900011,1.9,1.9,1.900091,1.9,1.899999,1.900006,1.9001020000000002,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,0.0,5.0,2.0,3.5,5.2,4.7,5.2,5.4
13,14,1.999999,1.999999,2.00012,1.999999,2.0,2.0,2.000062,2.000002,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,0.0,5.15,2.0,3.5,5.4,4.8,5.4,5.6
14,16,2.3002350000000003,2.2999989999999997,2.300009,2.3,2.3000079999999996,2.299979,2.2999989999999997,2.300007,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,0.0,5.3,2.0,3.5,5.7,4.8,5.7,5.9
15,17,2.400133,2.4,2.400011,2.4,2.400016,2.39999,2.3999989999999998,2.400006,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,0.0,5.45,2.0,3.5,6.0,5.0,6.0,6.2
16,17,2.600098,2.599999,2.6000300000000003,2.6,2.600055,2.599994,2.6,2.6,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,0.0,5.55,2.0,3.5,6.4,5.3,6.4,6.6
17,19,2.700169,2.699996,2.699977,2.7000010000000003,2.699982,2.6999250000000004,2.6999989999999996,2.700072,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,4.005,5.8,2.0,3.5,6.8,5.3,6.8,6.9
18,20,2.7449250000000003,2.759596,2.7598730000000002,2.7598730000000002,2.749379,2.7492379999999996,2.753665,2.782918,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,5.127,5.85,2.0,3.5,7.0,5.5,7.0,6.9
19,20,2.8000920000000002,2.8,2.8,2.799998,2.800068,2.799983,2.80002,2.799946,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,5.136,5.85,2.0,3.5,7.0,5.5,7.0,6.8
20,21,2.90666,2.942552,2.9425529999999998,2.945641,2.9909250000000003,2.900471,2.900512,2.900427,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,5.136,5.85,2.0,3.5,7.2,5.8,7.2,7.2
21,22,3.0001979999999997,3.0,3.0,3.0,2.999956,3.0000169999999997,3.000085,2.999901,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,5.138,5.95,2.0,3.5,7.4,6.0,7.4,7.3
22,22,3.165424,3.1644940000000004,3.165422,3.121417,3.1792089999999997,3.131983,3.163195,3.144504,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,5.134,6.0,2.0,3.6,7.7,6.0,7.7,7.9
23,23,3.11798,3.164306,3.161892,3.1618939999999998,3.115241,3.104759,3.105068,3.1066529999999997,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,5.597,6.1,2.0,3.5,7.9,6.3,7.9,7.9
24,23,3.170735,3.137455,3.186268,3.186268,3.1564720000000004,3.190665,3.1598200000000003,3.1695349999999998,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,6.329,6.15,2.0,3.5,8.0,6.5,8.0,7.9
25,23,3.0736399999999997,3.075291,3.024514,3.073682,3.002333,3.002697,3.011533,3.0100830000000003,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,6.493,6.25,2.0,3.5,7.9,6.5,7.9,7.8
26,22,3.2003719999999998,3.1999989999999996,3.1999989999999996,3.2,3.200219,3.200004,3.200029,3.200012,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,6.493,6.15,2.0,3.5,7.8,6.6,7.8,7.9
27,23,3.111964,3.119592,3.118692,3.1096239999999997,3.118734,3.100565,3.103638,3.108624,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,6.486,6.25,2.0,3.5,8.0,6.7,8.0,8.1
28,23,2.899972,2.9,2.8999989999999998,2.899968,2.9,2.8999810000000004,2.9,2.900143,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,6.489,6.2,2.0,3.5,8.0,6.7,8.0,7.6
29,21,2.9001080000000004,2.9,2.9,2.899995,2.9,2.899969,2.900072,2.900163,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,6.048,6.15,2.0,3.5,7.6,6.7,7.6,7.5
