report_number,number_of_rounds,cpu0 GHz,cpu1 GHz,cpu2 GHz,cpu3 GHz,cpu4 GHz,cpu5 GHz,cpu6 GHz,cpu7 GHz,cpu0 governor,cpu1 governor,cpu2 governor,cpu3 governor,cpu4 governor,cpu5 governor,cpu6 governor,cpu7 governor,fan_speed (x1000),thermal0 (x10),thermal1 (x10),thermal2 (x10),thermal3 (x10),thermal4 (x10),thermal5 (x10),thermal6 (x10)
1,10,0.7003189999999999,0.671906,0.70026,0.6466649999999999,0.64701,0.6322089999999999,0.646365,0.6475420000000001,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,4.16,4.85,2.0,3.4,5.0,4.6,5.0,4.4
2,10,0.700246,0.700017,0.700183,0.700225,0.700217,0.7014360000000001,0.700123,0.70016,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,3.472,4.65,2.0,3.4,4.7,4.6,4.7,4.2
3,10,0.700403,0.7000149999999999,0.700074,0.700302,0.7000299999999999,0.700821,0.70005,0.700119,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,0.0,4.55,2.0,3.4,4.6,4.2,4.6,4.1
4,9,0.600171,0.60001,0.600235,0.60038,0.600232,0.600924,0.60015,0.647789,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,0.0,4.45,2.0,3.4,4.4,4.0,4.4,4.1
5,10,0.700185,0.6924130000000001,0.700022,0.700135,0.6499729999999999,0.7011710000000001,0.6733300000000001,0.700037,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,0.0,4.45,2.0,3.4,4.4,4.0,4.4,4.1
6,10,0.700041,0.700006,0.700131,0.700121,0.700275,0.701585,0.7000660000000001,0.700345,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,0.0,4.4,2.0,3.4,4.4,3.8,4.4,4.0
7,10,0.6476280000000001,0.654747,0.648255,0.651891,0.679385,0.69856,0.667323,0.697874,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,0.0,4.35,2.0,3.4,4.3,3.8,4.3,4.0
8,9,0.700408,0.700017,0.700135,0.7002010000000001,0.700292,0.7015929999999999,0.700105,0.700077,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,0.0,4.35,2.0,3.4,4.3,3.7,4.3,4.0
9,10,2.272344,1.555126,2.264691,2.204893,2.202054,2.2667159999999997,2.113917,2.112024,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,0.0,4.35,2.0,3.4,4.3,3.7,4.3,4.1
10,10,0.700212,0.700017,0.7003959999999999,0.700231,0.7001660000000001,0.701364,0.700195,0.7004,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,0.0,4.3,2.0,3.4,4.2,3.7,4.2,3.9
11,10,0.700057,0.700022,0.700036,0.700054,0.700068,0.700126,0.70011,0.70025,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,0.0,4.25,2.0,3.4,4.2,3.6,4.2,3.9
12,9,0.642738,0.629867,0.6465380000000001,0.647043,0.647435,0.6331420000000001,0.6460560000000001,0.647601,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,0.0,4.25,2.0,3.4,4.2,3.6,4.2,3.9
13,10,1.054076,1.0116749999999999,1.151775,1.169005,1.068387,0.928201,1.084647,0.863992,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,0.0,4.2,2.0,3.4,4.2,3.6,4.2,3.9
14,10,0.600106,0.600015,0.60039,0.600303,0.600232,0.601105,0.600174,0.600227,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,0.0,4.2,2.0,3.4,4.2,3.5,4.2,3.8
15,9,0.7001900000000001,0.700012,0.700323,0.700296,0.700302,0.701126,0.700077,0.700328,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,0.0,4.2,2.0,3.4,4.2,3.5,4.2,3.9
16,10,0.600215,0.600008,0.600476,0.600302,0.600305,0.601317,0.600414,0.600151,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,0.0,4.15,2.0,3.4,4.1,3.5,4.1,3.8
17,10,0.700455,0.707898,0.708609,0.7000190000000001,0.727803,0.703853,0.700114,0.700214,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,0.0,4.15,2.0,3.4,4.1,3.5,4.1,3.8
18,10,0.644887,0.625807,0.647058,0.647304,0.645524,0.633798,0.684855,0.64838,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,0.0,4.1,2.0,3.4,4.1,3.5,4.1,3.7
19,9,0.643537,0.652567,0.6470739999999999,0.645605,0.685982,0.693474,0.685442,0.648338,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,0.0,4.1,2.0,3.4,4.1,3.4,4.1,3.8
20,10,1.4001780000000001,1.400084,1.4002000000000001,1.400002,1.400025,1.40021,1.4001949999999999,1.4000299999999999,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,0.0,4.1,2.0,3.4,4.0,3.4,4.0,3.8
21,10,0.70016,0.700024,0.700038,0.7000270000000001,0.700067,0.701646,0.700054,0.700252,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,0.0,4.05,2.0,3.3,4.0,3.4,4.0,3.8
22,10,0.600121,0.600015,0.600317,0.6001409999999999,0.600307,0.6014120000000001,0.600131,0.600113,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,0.0,4.05,2.0,3.3,4.0,3.4,4.0,3.7
23,9,0.600179,0.600011,0.600307,0.600418,0.600153,0.6009629999999999,0.600152,0.600383,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,0.0,4.05,2.0,3.3,4.0,3.4,4.0,3.7
24,10,0.851643,0.848924,0.847727,0.8483999999999999,0.847937,0.861164,0.849328,0.84692,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,0.0,4.05,2.0,3.3,4.0,3.4,4.0,3.7
25,10,0.700135,0.700022,0.700037,0.700215,0.70004,0.7000810000000001,0.700121,0.70013,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,0.0,4.05,2.0,3.3,4.0,3.4,4.0,3.7
26,9,0.683847,0.687557,0.681902,0.64624,0.646466,0.638938,0.684288,0.648492,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,0.0,4.05,2.0,3.3,4.0,3.4,4.0,3.7
27,10,0.6428630000000001,0.63007,0.602251,0.648843,0.643955,0.6356839999999999,0.6232880000000001,0.648302,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,0.0,4.05,2.0,3.3,4.0,3.4,4.0,3.7
28,10,0.7002849999999999,0.7000069999999999,0.700327,0.700013,0.700068,0.701047,0.700116,0.700217,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,0.0,4.05,2.0,3.3,4.0,3.3,4.0,3.7
29,10,0.700241,0.700016,0.700082,0.700182,0.700112,0.7012050000000001,0.700225,0.70026,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,0.0,4.05,2.0,3.3,4.0,3.3,4.0,3.6
30,9,0.700321,0.70001,0.70032,0.700299,0.700328,0.701119,0.700117,0.700187,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,0.0,4.0,2.0,3.3,4.0,3.3,4.0,3.7
31,10,2.300051,2.300111,2.3004949999999997,2.300021,2.300031,2.300527,2.3001300000000002,2.300417,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,0.0,4.0,2.0,3.3,4.0,3.3,4.0,3.6
32,10,0.600248,0.600013,0.600155,0.6004550000000001,0.600235,0.6007380000000001,0.6002240000000001,0.60027,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,0.0,4.0,2.0,3.3,3.9,3.3,3.9,3.6
33,9,0.600252,0.600016,0.6001420000000001,0.600336,0.600038,0.601672,0.600063,0.6003419999999999,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,0.0,4.0,2.0,3.3,3.9,3.3,3.9,3.6
34,10,0.700207,0.700009,0.700142,0.7003550000000001,0.7002970000000001,0.7019160000000001,0.7000919999999999,0.7001539999999999,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,0.0,4.0,2.0,3.3,3.9,3.3,3.9,3.6
35,10,0.700062,0.700017,0.700175,0.7003189999999999,0.70001,0.700395,0.700163,0.700209,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,0.0,3.95,2.0,3.3,3.9,3.3,3.9,3.6
36,10,0.7002229999999999,0.700006,0.700195,0.700261,0.70012,0.70164,0.700082,0.700151,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,0.0,3.95,2.0,3.3,3.9,3.3,3.9,3.6
37,9,0.643722,0.652413,0.646984,0.647314,0.6472749999999999,0.636961,0.64659,0.6484070000000001,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,0.0,3.95,2.0,3.3,3.9,3.3,3.9,3.6
38,10,0.700311,0.7000149999999999,0.7002659999999999,0.7002,0.700229,0.701072,0.7001660000000001,0.700451,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,0.0,3.9,2.0,3.3,3.9,3.2,3.9,3.6
39,10,0.700099,0.7000109999999999,0.7000299999999999,0.700288,0.700018,0.700244,0.700121,0.7002240000000001,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,0.0,3.9,2.0,3.3,3.9,3.2,3.9,3.6
40,10,0.6434930000000001,0.6348619999999999,0.646418,0.646184,0.6463150000000001,0.633984,0.646961,0.647691,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,0.0,3.9,2.0,3.3,3.9,3.3,3.9,3.6
41,9,0.700188,0.700018,0.700393,0.700384,0.700422,0.700718,0.700152,0.700322,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,0.0,3.9,2.0,3.3,3.9,3.3,3.9,3.6
42,10,1.657541,1.601074,1.482856,1.455557,1.7042490000000001,1.530174,1.457179,1.459646,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,0.0,3.9,2.0,3.3,3.9,3.3,3.9,3.6
43,10,0.6878350000000001,0.698961,0.700251,0.700121,0.70002,0.70026,0.700049,0.7000299999999999,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,0.0,3.9,2.0,3.3,3.9,3.3,3.9,3.6
44,9,0.600278,0.600015,0.600193,0.6002670000000001,0.600424,0.601197,0.6000610000000001,0.600271,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,0.0,3.9,2.0,3.3,3.9,3.3,3.9,3.6
45,10,0.636436,0.6408440000000001,0.657353,0.6831090000000001,0.681375,0.635629,0.647905,0.647693,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,0.0,3.9,2.0,3.3,3.9,3.2,3.9,3.6
46,10,0.700261,0.7000069999999999,0.700448,0.700009,0.7003429999999999,0.7018759999999999,0.700077,0.746023,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,0.0,3.9,2.0,3.3,3.9,3.2,3.9,3.6
47,10,0.700394,0.700006,0.7000660000000001,0.700453,0.7000940000000001,0.700183,0.700187,0.700327,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,0.0,3.9,2.0,3.3,3.9,3.2,3.9,3.6
48,9,0.600176,0.600015,0.600308,0.600149,0.600154,0.6010359999999999,0.600165,0.600038,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,0.0,3.9,2.0,3.3,3.9,3.2,3.9,3.6
49,10,0.6128049999999999,0.6465639999999999,0.647251,0.646454,0.602808,0.6355599999999999,0.602542,0.601632,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,0.0,3.9,2.0,3.3,3.9,3.2,3.9,3.6
50,10,0.7000850000000001,0.7000109999999999,0.700198,0.700335,0.700112,0.701274,0.700108,0.700326,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,0.0,3.85,2.0,3.3,3.8,3.2,3.8,3.6
51,10,0.700272,0.7000149999999999,0.700238,0.700097,0.700076,0.701179,0.70016,0.700299,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,0.0,3.9,2.0,3.3,3.8,3.2,3.8,3.5
52,9,0.642923,0.652714,0.6473390000000001,0.6460589999999999,0.6473819999999999,0.636969,0.6460560000000001,0.647216,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,0.0,3.85,2.0,3.3,3.8,3.2,3.8,3.6
53,10,0.814874,0.8559629999999999,0.9286019999999999,0.815086,0.806731,0.9072899999999999,0.735582,0.851023,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,0.0,3.9,2.0,3.3,3.8,3.2,3.8,3.5
54,10,0.700055,0.681592,0.700314,0.700295,0.646946,0.6375599999999999,0.685652,0.647805,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,0.0,3.85,2.0,3.3,3.8,3.2,3.8,3.5
55,9,0.600351,0.600011,0.60039,0.600382,0.600423,0.6012569999999999,0.600229,0.6003390000000001,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,0.0,3.9,2.0,3.3,3.8,3.2,3.8,3.6
56,10,0.600278,0.600014,0.600116,0.6002649999999999,0.60023,0.601271,0.600153,0.6003740000000001,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,0.0,3.85,2.0,3.3,3.8,3.2,3.8,3.5
57,10,0.7000109999999999,0.7000259999999999,0.7000190000000001,0.700076,0.70001,0.7009740000000001,0.700149,0.700298,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,0.0,3.85,2.0,3.3,3.8,3.2,3.8,3.6
58,10,0.7003550000000001,0.7000109999999999,0.7001900000000001,0.7003429999999999,0.7001649999999999,0.701586,0.700009,0.700238,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,0.0,3.85,2.0,3.3,3.8,3.2,3.8,3.6
59,9,0.60021,0.600011,0.600271,0.600424,0.600189,0.601581,0.600132,0.600189,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,0.0,3.85,2.0,3.3,3.8,3.2,3.8,3.5
60,10,0.600281,0.600013,0.600272,0.6003390000000001,0.600077,0.601016,0.600144,0.600422,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,0.0,3.8,2.0,3.3,3.8,3.2,3.8,3.5
