report_number,number_of_rounds,cpu0 GHz,cpu1 GHz,cpu2 GHz,cpu3 GHz,cpu4 GHz,cpu5 GHz,cpu6 GHz,cpu7 GHz,cpu0 governor,cpu1 governor,cpu2 governor,cpu3 governor,cpu4 governor,cpu5 governor,cpu6 governor,cpu7 governor,fan_speed (x1000),thermal0 (x10),thermal1 (x10),thermal2 (x10),thermal3 (x10),thermal4 (x10),thermal5 (x10),thermal6 (x10)
1,10,0.80032,0.800012,0.8,0.8002480000000001,0.800395,0.800509,0.8002400000000001,0.800292,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,0.0,3.75,2.0,2.6,3.7,3.2,3.7,3.6
2,10,0.7002200000000001,0.700009,0.700087,0.700387,0.700367,0.701385,0.700155,0.700437,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,0.0,3.75,2.0,2.6,3.7,3.1,3.7,3.5
3,10,0.700178,0.700014,0.700173,0.7003189999999999,0.700336,0.7009890000000001,0.700292,0.7003400000000001,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,0.0,3.7,2.0,2.6,3.7,3.1,3.7,3.5
4,9,0.800312,0.800014,0.800147,0.800097,0.800198,0.8019400000000001,0.80038,0.800192,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,0.0,3.65,2.0,2.6,3.6,3.1,3.6,3.4
5,10,0.701175,0.709408,0.701382,0.700188,0.7236480000000001,0.70012,0.726607,0.700133,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,0.0,3.65,2.0,2.6,3.6,3.0,3.6,3.4
6,10,0.800318,0.8000170000000001,0.800304,0.8002480000000001,0.800145,0.801424,0.800381,0.800095,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,0.0,3.65,2.0,2.6,3.6,3.0,3.6,3.4
7,10,0.700333,0.699995,0.700062,0.700167,0.700132,0.700105,0.700036,0.700054,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,0.0,3.6,2.0,2.6,3.6,3.0,3.6,3.4
8,9,1.047369,0.943141,0.931144,0.927817,0.927601,0.968997,0.933903,0.928163,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,0.0,3.6,2.0,2.6,3.6,3.0,3.6,3.4
9,10,0.800071,0.80003,0.800199,0.778974,0.741549,0.798041,0.7892319999999999,0.8000900000000001,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,0.0,3.6,2.0,2.6,3.5,3.0,3.5,3.3
10,10,0.700247,0.70001,0.700386,0.7002050000000001,0.700414,0.7014,0.700313,0.700375,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,0.0,3.55,2.0,2.6,3.5,3.0,3.5,3.3
11,10,2.300312,2.300064,2.300115,2.300052,2.3004029999999998,2.300402,2.3000390000000004,2.3000030000000002,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,0.0,3.55,2.0,2.6,3.5,3.0,3.5,3.3
12,9,0.8000900000000001,0.800006,0.800501,0.80043,0.8001950000000001,0.801063,0.800337,0.7805829999999999,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,0.0,3.5,2.0,2.6,3.5,3.0,3.5,3.3
13,10,0.700041,0.700006,0.700071,0.700236,0.700235,0.7003339999999999,0.700049,0.7003060000000001,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,0.0,3.55,2.0,2.6,3.5,2.9,3.5,3.3
14,10,0.7002079999999999,0.700018,0.700061,0.700426,0.700075,0.702074,0.7004,0.700156,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,0.0,3.5,2.0,2.6,3.5,2.9,3.5,3.3
15,9,0.8645130000000001,0.859733,0.853494,0.853577,0.852095,0.902547,0.81648,0.845302,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,0.0,3.5,2.0,2.6,3.5,2.9,3.5,3.3
16,10,0.800091,0.8000109999999999,0.800399,0.800239,0.8002469999999999,0.801624,0.800284,0.79995,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,0.0,3.5,2.0,2.6,3.5,2.9,3.5,3.3
17,10,0.700173,0.7000080000000001,0.700164,0.7003830000000001,0.700274,0.7015370000000001,0.7000700000000001,0.7002659999999999,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,0.0,3.5,2.0,2.7,3.5,2.9,3.5,3.2
18,10,0.800314,0.800016,0.800297,0.80044,0.8001090000000001,0.801122,0.8003819999999999,0.8004370000000001,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,0.0,3.5,2.0,2.6,3.5,2.9,3.5,3.2
19,9,0.800355,0.800003,0.80025,0.800288,0.800395,0.8012079999999999,0.8002849999999999,0.8000940000000001,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,0.0,3.5,2.0,2.6,3.5,2.9,3.5,3.2
