time,round_number,time_used,performance_rps,cpu0 GHz,cpu1 GHz,cpu2 GHz,cpu3 GHz,cpu4 GHz,cpu5 GHz,cpu6 GHz,cpu7 GHz,cpu0 governor,cpu1 governor,cpu2 governor,cpu3 governor,cpu4 governor,cpu5 governor,cpu6 governor,cpu7 governor,fan_speed (x1000),thermal0 (x10),thermal1 (x10),thermal2 (x10),thermal3 (x10),thermal4 (x10),thermal5 (x10),thermal6 (x10)
2018-07-22T18:16:37+1000,1,1.000108774,0.9998912378304962,2.3687959999999997,2.360591,2.310505,2.3101100000000003,2.393884,2.3020140000000002,2.354254,2.374605,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,0.0,3.8,2.0,2.7,3.7,3.2,3.7,4.0
2018-07-22T18:16:38+1000,2,1.000078155,0.9999218511077267,3.035231,3.0687689999999996,3.143334,3.06762,3.017148,3.121632,3.15494,3.049831,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,0.0,3.85,2.0,2.6,3.7,3.2,3.7,4.5
2018-07-22T18:16:39+1000,3,1.000529774,0.9994705065118831,1.43924,1.5598219999999998,1.2102819999999999,1.46333,1.457859,1.265577,1.338114,1.2572860000000001,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,0.0,3.8,2.0,2.6,3.7,3.2,3.7,3.6
2018-07-22T18:16:40+1000,4,1.000643902,0.9993565123429894,0.800451,0.8000259999999999,0.800312,0.800293,0.800339,0.801532,0.800396,0.800439,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,0.0,3.8,2.0,2.8,3.7,3.2,3.7,3.6
2018-07-22T18:16:41+1000,5,1.0003403,0.9996598157646953,0.800454,0.80001,0.800551,0.800148,0.800449,0.801882,0.800129,0.8001950000000001,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,0.0,3.75,2.0,2.6,3.7,3.2,3.7,3.6
2018-07-22T18:16:42+1000,6,1.0006498,0.9993506219658467,0.940798,0.942973,0.905813,0.888141,0.9320700000000001,1.0758230000000002,0.9298379999999999,0.926819,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,0.0,3.75,2.0,2.8,3.7,3.2,3.7,3.6
2018-07-22T18:16:43+1000,7,1.000730652,0.9992698814625695,0.800385,0.800008,0.800353,0.800049,0.8004410000000001,0.801479,0.800439,0.800396,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,0.0,3.75,2.0,2.7,3.7,3.2,3.7,3.6
2018-07-22T18:16:44+1000,8,1.00031985,0.9996802522713111,2.17531,0.85046,0.827948,1.285808,1.621149,0.864193,0.8485410000000001,2.135747,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,0.0,3.75,2.0,2.6,3.7,3.2,3.7,3.6
2018-07-22T18:16:45+1000,9,1.000679385,0.9993210762506115,0.800059,0.8000170000000001,0.800158,0.8001090000000001,0.80035,0.800428,0.800234,0.800134,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,0.0,3.75,2.0,2.7,3.7,3.2,3.7,3.5
2018-07-22T18:16:46+1000,10,1.000642898,0.999357515052288,0.80032,0.800012,0.8,0.8002480000000001,0.800395,0.800509,0.8002400000000001,0.800292,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,0.0,3.75,2.0,2.6,3.7,3.2,3.7,3.6
2018-07-22T18:16:47+1000,11,1.000625293,0.9993750977470046,0.800352,0.8,0.8002469999999999,0.8003830000000001,0.8002440000000001,0.8011029999999999,0.800384,0.8003899999999999,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,0.0,3.75,2.0,2.6,3.7,3.2,3.7,3.5
2018-07-22T18:16:48+1000,12,1.000703622,0.9992968727358118,0.600105,0.600011,0.6002670000000001,0.600229,0.6003010000000001,0.6012179999999999,0.600259,0.6,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,0.0,3.75,2.0,2.6,3.7,3.2,3.7,3.6
2018-07-22T18:16:49+1000,13,1.000642381,0.9993580313884386,0.8003129999999999,0.800012,0.800245,0.800042,0.8002910000000001,0.8013640000000001,0.800387,0.800123,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,0.0,3.75,2.0,2.6,3.7,3.2,3.7,3.5
2018-07-22T18:16:50+1000,14,1.000644792,0.9993556234888195,0.742922,0.753866,0.7003039999999999,0.700125,0.7,0.704352,0.700258,0.700172,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,0.0,3.75,2.0,2.6,3.7,3.2,3.7,3.6
2018-07-22T18:16:51+1000,15,1.000735623,0.9992649177434149,0.7000040000000001,0.700018,0.700022,0.700059,0.700006,0.701006,0.700105,0.700156,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,0.0,3.75,2.0,2.6,3.7,3.2,3.7,3.5
2018-07-22T18:16:52+1000,16,1.00063892,0.9993614879581137,0.7003250000000001,0.7000109999999999,0.700196,0.7001609999999999,0.70043,0.701646,0.7001649999999999,0.700256,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,0.0,3.75,2.0,2.6,3.7,3.1,3.7,3.5
2018-07-22T18:16:53+1000,17,1.000527229,0.9994730488239416,0.800276,0.800012,0.800148,0.800049,0.800299,0.8013899999999999,0.800243,0.8002910000000001,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,0.0,3.75,2.0,2.6,3.7,3.1,3.7,3.5
2018-07-22T18:16:54+1000,18,1.000638483,0.9993619244004232,0.639043,0.6159,0.646477,0.64612,0.64666,0.632459,0.646248,0.648342,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,0.0,3.75,2.0,2.6,3.7,3.1,3.7,3.5
2018-07-22T18:16:55+1000,19,1.000256884,0.9997431819724423,0.800034,0.80001,0.80004,0.800163,0.800342,0.80175,0.800101,0.800048,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,0.0,3.75,2.0,2.6,3.7,3.1,3.7,3.5
2018-07-22T18:16:56+1000,20,1.000293508,0.9997065781216687,0.7002200000000001,0.700009,0.700087,0.700387,0.700367,0.701385,0.700155,0.700437,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,0.0,3.75,2.0,2.6,3.7,3.1,3.7,3.5
2018-07-22T18:16:57+1000,21,1.000320118,0.9996799844427401,0.700261,0.7000069999999999,0.700086,0.70033,0.700375,0.701198,0.700131,0.7003630000000001,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,0.0,3.75,2.0,2.6,3.7,3.1,3.7,3.5
2018-07-22T18:16:58+1000,22,1.000297405,0.9997026834234365,0.700167,0.700009,0.700074,0.70023,0.700116,0.7004859999999999,0.7002269999999999,0.7000040000000001,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,0.0,3.75,2.0,2.6,3.7,3.1,3.7,3.5
2018-07-22T18:16:59+1000,23,1.000302516,0.9996975754882536,0.8003250000000001,0.800016,0.8001159999999999,0.800086,0.8000750000000001,0.801509,0.800238,0.8000839999999999,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,0.0,3.75,2.0,2.6,3.7,3.1,3.7,3.5
2018-07-22T18:17:00+1000,24,1.000205794,0.9997942483424567,2.3340199999999998,2.062442,1.806635,1.923842,2.0759250000000002,2.219662,2.336215,1.0560070000000001,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,0.0,3.75,2.0,2.6,3.7,3.1,3.7,3.5
2018-07-22T18:17:01+1000,25,1.000426392,0.9995737897326482,0.700183,0.70001,0.700101,0.700249,0.700261,0.700656,0.7002970000000001,0.700296,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,0.0,3.75,2.0,2.6,3.7,3.1,3.7,3.5
2018-07-22T18:17:02+1000,26,1.000310358,0.9996897382922032,0.700028,0.700032,0.700063,0.700034,0.700017,0.700043,0.700099,0.700036,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,0.0,3.75,2.0,2.6,3.7,3.1,3.7,3.5
2018-07-22T18:17:03+1000,27,1.00031343,0.9996866682075837,0.700064,0.700017,0.700145,0.700312,0.700157,0.700174,0.7000449999999999,0.700387,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,0.0,3.7,2.0,2.6,3.7,3.1,3.7,3.5
2018-07-22T18:17:04+1000,28,1.000627025,0.9993733679139837,0.700164,0.7000080000000001,0.700295,0.700251,0.700337,0.701228,0.700167,0.70045,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,0.0,3.7,2.0,2.6,3.7,3.1,3.7,3.5
2018-07-22T18:17:05+1000,29,1.000662382,0.9993380564594863,0.7003010000000001,0.695783,0.700211,0.700229,0.700409,0.7003440000000001,0.682888,0.648279,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,0.0,3.7,2.0,2.6,3.7,3.1,3.7,3.4
2018-07-22T18:17:06+1000,30,1.000627492,0.9993729014992924,0.700178,0.700014,0.700173,0.7003189999999999,0.700336,0.7009890000000001,0.700292,0.7003400000000001,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,0.0,3.7,2.0,2.6,3.7,3.1,3.7,3.5
2018-07-22T18:17:07+1000,31,1.000665046,0.999335395992237,0.700233,0.700009,0.700237,0.7001459999999999,0.7002390000000001,0.701717,0.7004049999999999,0.700155,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,0.0,3.65,2.0,2.6,3.7,3.1,3.7,3.4
2018-07-22T18:17:08+1000,32,1.000677189,0.9993232692746032,0.700098,0.7000109999999999,0.700071,0.700141,0.700268,0.701152,0.700341,0.7002670000000001,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,0.0,3.7,2.0,2.6,3.7,3.1,3.7,3.4
2018-07-22T18:17:09+1000,33,1.000635432,0.9993649715174188,0.700296,0.700012,0.700132,0.7001989999999999,0.700346,0.70128,0.700245,0.700032,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,0.0,3.7,2.0,2.6,3.6,3.1,3.6,3.4
2018-07-22T18:17:10+1000,34,1.000721299,0.999279220897246,0.700232,0.7000040000000001,0.700236,0.700341,0.699899,0.7000689999999999,0.70009,0.700241,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,0.0,3.65,2.0,2.6,3.6,3.1,3.6,3.4
2018-07-22T18:17:11+1000,35,1.0006964,0.9993040846354598,0.600281,0.600015,0.6003869999999999,0.600303,0.6003419999999999,0.6010460000000001,0.600226,0.600264,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,0.0,3.65,2.0,2.6,3.6,3.1,3.6,3.4
2018-07-22T18:17:12+1000,36,1.000244319,0.9997557406771934,1.707779,1.1155760000000001,1.01897,1.0302,0.7103659999999999,1.478585,0.713055,1.034933,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,0.0,3.65,2.0,2.8,3.6,3.1,3.6,3.6
2018-07-22T18:17:14+1000,37,1.000364792,0.9996353410246769,2.069477,2.0665940000000003,2.050381,2.046497,2.1867550000000002,2.081217,2.163236,2.050927,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,0.0,3.65,2.0,2.7,3.6,3.1,3.6,3.5
2018-07-22T18:17:15+1000,38,1.000385712,0.9996144367163853,0.86311,0.786744,0.854487,0.747831,0.746866,0.75986,0.763832,0.746316,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,0.0,3.65,2.0,2.6,3.6,3.1,3.6,3.5
2018-07-22T18:17:16+1000,39,1.00058987,0.9994104777414946,0.800312,0.800014,0.800147,0.800097,0.800198,0.8019400000000001,0.80038,0.800192,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,0.0,3.65,2.0,2.6,3.6,3.1,3.6,3.4
2018-07-22T18:17:17+1000,40,1.000499282,0.9995009671581153,0.700123,0.7000149999999999,0.700155,0.700206,0.70024,0.700921,0.70028,0.7000919999999999,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,0.0,3.65,2.0,2.6,3.6,3.1,3.6,3.4
2018-07-22T18:17:18+1000,41,1.000609053,0.9993913177197687,0.7002659999999999,0.700012,0.700255,0.700388,0.700519,0.70114,0.700054,0.7003769999999999,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,0.0,3.65,2.0,2.6,3.6,3.1,3.6,3.4
2018-07-22T18:17:19+1000,42,1.000406947,0.9995932185384954,0.700258,0.700014,0.700028,0.700245,0.7001839999999999,0.701387,0.70017,0.700218,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,0.0,3.65,2.0,2.6,3.6,3.1,3.6,3.4
2018-07-22T18:17:20+1000,43,1.000610143,0.9993902290474782,1.7760930000000001,1.018379,0.810111,0.855645,0.888659,0.834098,0.876222,0.915744,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,0.0,3.65,2.0,2.6,3.6,3.1,3.6,3.5
2018-07-22T18:17:21+1000,44,1.000613712,0.9993866644114107,0.800163,0.8000320000000001,0.800162,0.800136,0.800235,0.800408,0.8003060000000001,0.800257,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,0.0,3.65,2.0,2.6,3.6,3.1,3.6,3.4
2018-07-22T18:17:22+1000,45,1.000618137,0.9993822448573106,0.70005,0.700012,0.7002039999999999,0.70031,0.70028,0.701539,0.7002039999999999,0.70012,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,0.0,3.65,2.0,2.7,3.6,3.1,3.6,3.4
2018-07-22T18:17:23+1000,46,1.000652931,0.9993474950407155,0.700106,0.700017,0.700207,0.7002809999999999,0.700173,0.701534,0.70013,0.7002269999999999,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,0.0,3.65,2.0,2.6,3.6,3.1,3.6,3.4
2018-07-22T18:17:24+1000,47,1.000643702,0.999356712085717,0.7002200000000001,0.7000080000000001,0.70016,0.7003429999999999,0.70027,0.701238,0.700236,0.7001609999999999,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,0.0,3.65,2.0,2.6,3.6,3.1,3.6,3.3
2018-07-22T18:17:25+1000,48,1.000622214,0.9993781729095212,0.700259,0.700012,0.700061,0.700093,0.7002480000000001,0.701114,0.700061,0.700213,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,0.0,3.65,2.0,2.6,3.6,3.1,3.6,3.4
2018-07-22T18:17:26+1000,49,1.000201752,0.9997982886956591,0.701175,0.709408,0.701382,0.700188,0.7236480000000001,0.70012,0.726607,0.700133,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,0.0,3.65,2.0,2.6,3.6,3.0,3.6,3.3
2018-07-22T18:17:27+1000,50,1.000664914,0.9993355278168573,0.6447390000000001,0.655302,0.647187,0.6465080000000001,0.646634,0.635587,0.646633,0.647121,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,0.0,3.65,2.0,2.6,3.6,3.0,3.6,3.4
2018-07-22T18:17:28+1000,51,1.000481794,0.9995184380136757,0.747082,0.7077319999999999,0.700219,0.700071,0.7002010000000001,0.701463,0.7003590000000001,0.700382,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,0.0,3.6,2.0,2.6,3.6,3.0,3.6,3.4
2018-07-22T18:17:29+1000,52,1.000161993,0.9998380332374817,0.801295,0.8000879999999999,0.801963,0.800615,0.802169,0.8020320000000001,0.800147,0.801304,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,0.0,3.65,2.0,2.8,3.6,3.0,3.6,3.4
2018-07-22T18:17:30+1000,53,1.000114302,0.9998857110634539,0.801319,0.800009,0.800818,0.800347,0.800732,0.8021699999999999,0.800415,0.800504,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,0.0,3.65,2.0,2.7,3.6,3.0,3.6,3.4
2018-07-22T18:17:31+1000,54,1.00024853,0.9997515317518139,0.70036,0.70001,0.700317,0.7000660000000001,0.700247,0.7001689999999999,0.700053,0.700288,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,0.0,3.65,2.0,2.6,3.6,3.0,3.6,3.4
2018-07-22T18:17:32+1000,55,1.000287798,0.999712284803858,0.700217,0.700014,0.700142,0.700159,0.700264,0.700929,0.700288,0.7003039999999999,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,0.0,3.65,2.0,2.6,3.6,3.0,3.6,3.4
2018-07-22T18:17:33+1000,56,1.000382707,0.9996174394086162,0.700284,0.700009,0.700185,0.700245,0.700277,0.701284,0.699995,0.700221,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,0.0,3.65,2.0,2.6,3.6,3.0,3.6,3.3
