time,round_number,time_used,performance_rps,cpu0 GHz,cpu1 GHz,cpu2 GHz,cpu3 GHz,cpu4 GHz,cpu5 GHz,cpu6 GHz,cpu7 GHz,cpu0 governor,cpu1 governor,cpu2 governor,cpu3 governor,cpu4 governor,cpu5 governor,cpu6 governor,cpu7 governor,fan_speed (x1000),thermal0 (x10),thermal1 (x10),thermal2 (x10),thermal3 (x10),thermal4 (x10),thermal5 (x10),thermal6 (x10)
2018-07-22T18:21:39+1000,1,0.412116096,2.4265007111005925,3.399844,3.3971729999999996,3.394933,3.397786,3.398175,3.395245,3.3994720000000003,3.399692,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,0.0,3.5,2.0,2.7,3.4,2.9,3.4,4.6
2018-07-22T18:21:39+1000,2,0.403113158,2.480693026646379,3.3923989999999997,3.399765,3.392819,3.392014,3.391879,3.3984870000000003,3.398526,3.382736,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,0.0,3.5,2.0,2.6,3.4,2.9,3.4,4.4
2018-07-22T18:21:40+1000,3,0.401985029,2.487654832538552,3.400102,3.3999989999999998,3.4001069999999998,3.400074,3.400052,3.3999789999999996,3.400056,3.400036,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,0.0,3.55,2.0,2.6,3.4,2.9,3.4,4.4
2018-07-22T18:21:40+1000,4,0.403277879,2.4796797743523147,3.4000850000000002,3.3996329999999997,3.399681,3.390619,3.38671,3.395645,3.3905309999999997,3.3748229999999997,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,0.0,3.55,2.0,2.7,3.4,2.9,3.4,4.5
2018-07-22T18:21:41+1000,5,0.401293542,2.4919414227702674,3.3973470000000003,3.399868,3.400136,3.391946,3.3816990000000002,3.39976,3.3926999999999996,3.393836,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,0.0,3.6,2.0,2.7,3.4,2.9,3.4,4.5
2018-07-22T18:21:41+1000,6,0.402358561,2.485345403151494,3.400105,3.399997,3.400138,3.40009,3.400059,3.39999,3.399555,3.398069,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,0.0,3.6,2.0,2.7,3.7,3.1,3.7,4.5
2018-07-22T18:21:41+1000,7,0.402509988,2.48441039927685,3.395989,3.3999639999999998,3.400083,3.4001289999999997,3.39901,3.396329,3.3995830000000002,3.3950880000000003,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,0.0,3.6,2.0,2.6,3.7,3.1,3.7,4.6
2018-07-22T18:21:42+1000,8,0.402509558,2.484413053366549,3.400083,3.4,3.4000340000000002,3.400059,3.40003,3.399985,3.4001080000000004,3.400029,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,0.0,3.65,2.0,2.7,3.7,3.1,3.7,4.6
2018-07-22T18:21:42+1000,9,0.402472479,2.4846419374677295,3.400185,3.399946,3.400105,3.400026,3.394682,3.3999989999999998,3.398397,3.398018,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,0.0,3.65,2.0,2.6,3.7,3.1,3.7,4.6
2018-07-22T18:21:43+1000,10,0.402578969,2.4839847011481617,3.400043,3.399953,3.400067,3.400095,3.39727,3.39977,3.3942710000000003,3.3944720000000004,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,0.0,3.65,2.0,2.6,3.7,3.1,3.7,4.6
