report_number,number_of_rounds,cpu0 GHz,cpu1 GHz,cpu2 GHz,cpu3 GHz,cpu4 GHz,cpu5 GHz,cpu6 GHz,cpu7 GHz,cpu0 governor,cpu1 governor,cpu2 governor,cpu3 governor,cpu4 governor,cpu5 governor,cpu6 governor,cpu7 governor,fan_speed (x1000),thermal0 (x10),thermal1 (x10),thermal2 (x10),thermal3 (x10),thermal4 (x10),thermal5 (x10),thermal6 (x10)
1,24,3.281158,3.249363,3.2895459999999996,3.28558,3.249339,3.28656,3.247875,3.317961,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,5.952,5.85,2.0,2.8,8.1,6.4,8.1,8.1
2,23,3.200908,3.2025210000000004,3.200418,3.2005149999999998,3.2025210000000004,3.2003809999999997,3.202627,3.201915,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,6.482,5.95,2.0,2.8,8.1,6.4,8.1,8.1
3,23,3.1999969999999998,3.2,3.199979,3.200236,3.1999989999999996,3.2000189999999997,3.1999989999999996,3.200291,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,6.486,6.0,2.0,2.8,8.1,6.4,8.1,8.1
4,23,3.0999830000000004,3.1,3.0999749999999997,3.100123,3.1,3.100003,3.099999,3.1000900000000002,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,6.493,6.0,2.0,2.8,8.1,6.4,8.1,7.9
6,3,0.38782799999999995,0.19423500000000002,0.400039,0.400023,0.193475,0.400079,0.189891,0.400022,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,4.68,5.05,2.0,2.8,5.2,5.3,5.2,4.6
7,1,0.400039,0.156729,0.400015,0.400053,0.176382,0.400053,0.152804,0.400024,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,3.584,4.75,2.0,2.8,4.8,4.8,4.8,4.4
8,1,0.905634,0.939154,0.8054669999999999,0.817028,0.939219,0.853404,0.9403360000000001,0.8747480000000001,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,3.476,4.65,2.0,2.8,4.7,4.8,4.7,4.5
9,9,1.422213,1.4068900000000002,1.475687,1.4384549999999998,1.4068800000000001,1.474095,1.4058989999999998,1.423598,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,0.0,4.7,2.0,2.8,4.6,4.7,4.6,4.7
10,11,1.699996,1.7,1.7000050000000002,1.700085,1.699999,1.700021,1.699999,1.700022,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,0.0,4.75,2.0,2.8,4.8,4.7,4.8,4.9
11,13,1.899994,1.9,1.899999,1.900045,1.9,1.8999659999999998,1.9,1.900018,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,0.0,4.9,2.0,2.8,5.1,4.7,5.1,5.3
12,15,2.175461,2.17329,2.1481529999999998,2.154132,2.173279,2.1799899999999997,2.172932,2.129335,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,0.0,5.0,2.0,2.8,5.4,4.7,5.4,5.7
13,16,2.300014,2.3,2.2999929999999997,2.300068,2.2999989999999997,2.300005,2.2999989999999997,2.3000059999999998,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,0.0,5.1,2.0,2.8,5.8,4.8,5.8,5.9
14,17,2.449545,2.450222,2.471591,2.495591,2.494769,2.4997849999999997,2.4720790000000004,2.450201,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,0.0,5.3,2.0,2.8,6.0,5.0,6.0,6.2
15,19,2.506033,2.505996,2.504194,2.500216,2.500444,2.500028,2.500056,2.50602,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,0.0,5.45,2.0,2.8,6.4,5.0,6.4,6.7
16,19,2.7000230000000003,2.7,2.6999989999999996,2.700109,2.7,2.699996,2.7,2.6999560000000002,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,4.059,5.6,2.0,2.8,6.9,5.2,6.9,7.2
17,19,2.799978,2.8,2.7999989999999997,2.800114,2.7999989999999997,2.800009,2.800005,2.800081,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,5.125,5.7,2.0,2.8,7.1,5.4,7.1,7.1
18,21,2.899989,2.9,2.900016,2.8999569999999997,2.8999989999999998,2.9000169999999996,2.8999989999999998,2.9000100000000004,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,5.142,5.7,2.0,2.8,7.2,5.4,7.2,7.3
19,21,2.945425,2.9598180000000003,2.9268400000000003,2.976165,2.959525,2.901674,2.9598069999999996,2.9669,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,5.145,5.7,2.0,2.8,7.2,5.7,7.2,7.3
20,22,3.058989,3.053599,3.020719,3.0532310000000003,3.04048,3.0707739999999997,3.053599,3.072888,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,5.145,5.75,2.0,2.8,7.4,5.7,7.4,7.4
21,22,3.106344,3.106343,3.1448009999999997,3.105579,3.106329,3.199616,3.159623,3.1995109999999998,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,5.136,5.85,2.0,2.8,7.5,5.9,7.5,7.5
22,23,3.174125,3.174125,3.1739,3.1841280000000003,3.192078,3.191823,3.1921999999999997,3.1892959999999997,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,5.253,5.95,2.0,2.8,7.8,6.2,7.8,8.1
23,23,3.165242,3.165242,3.164882,3.1476129999999998,3.095129,3.15246,3.084617,3.1709560000000003,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,6.489,6.0,2.0,2.8,8.1,6.2,8.1,8.1
24,22,2.982454,2.963471,2.962891,2.9634699999999996,2.9997640000000003,2.999748,2.999825,2.99966,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,6.451,5.95,2.0,2.9,7.7,6.4,7.7,7.4
25,22,3.039894,3.098132,3.098815,3.098133,3.031671,3.000438,3.000405,3.006861,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,5.87,5.9,2.0,3.0,7.4,6.3,7.4,7.6
26,22,3.120302,3.1890709999999998,3.193179,3.189073,3.109652,3.1003600000000002,3.100384,3.100447,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,5.867,5.85,2.0,2.8,7.6,6.3,7.6,7.8
27,23,3.200009,3.2,3.199998,3.200079,3.1999969999999998,3.2,3.1999679999999997,3.200088,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,5.879,5.95,2.0,2.8,7.7,6.4,7.7,8.1
28,23,3.193602,3.185377,3.185755,3.196551,3.1857539999999998,3.198013,3.1981610000000003,3.19559,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,6.465,6.0,2.0,2.8,8.1,6.4,8.1,8.1
29,22,3.08238,3.071863,3.071694,3.1000360000000002,3.071863,3.1000590000000003,3.100071,3.09264,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,6.486,6.0,2.0,2.8,7.8,6.5,7.8,7.8
30,23,2.799997,2.8,2.8,2.8,2.8,2.7999929999999997,2.799997,2.800004,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,6.489,6.0,2.0,2.8,7.7,6.5,7.7,7.5
31,20,2.899935,2.8999989999999998,2.9,2.9,2.9,2.900027,2.900032,2.900014,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,5.87,6.0,2.0,2.8,7.6,6.5,7.6,7.8
32,22,3.000054,2.999999,3.0,2.999999,3.0000050000000003,3.000004,2.999996,3.0,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,5.879,6.1,2.0,2.8,7.8,6.7,7.8,8.0
33,21,2.999998,3.0,3.0,2.999999,3.0,3.000018,3.0,2.999999,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,6.25,6.15,2.0,2.8,8.0,6.8,8.0,8.1
34,22,2.7999720000000003,2.8,2.7999989999999997,2.8,2.8,2.800038,2.799958,2.800038,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,6.482,6.2,2.0,2.8,8.0,6.8,8.0,7.8
35,20,2.799976,2.7999989999999997,2.8,2.8,2.8,2.799946,2.800042,2.800012,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,6.134,6.15,2.0,2.8,7.6,6.8,7.6,7.6
36,20,2.899951,2.9,2.8999989999999998,2.8999989999999998,2.9,2.899966,2.900014,2.900015,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,5.873,6.15,2.0,2.8,7.7,6.8,7.7,7.8
37,21,3.000002,3.0,3.0,2.999999,3.000002,2.9999949999999997,2.999997,3.0000050000000003,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,5.87,6.2,2.0,2.9,7.9,6.8,7.9,7.9
38,21,2.928081,2.9636579999999997,2.962716,2.962716,2.9627179999999997,2.9176599999999997,2.9143719999999997,2.926259,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,6.479,6.25,2.0,2.8,8.1,6.9,8.1,8.1
