report_number,number_of_rounds,cpu0 GHz,cpu1 GHz,cpu2 GHz,cpu3 GHz,cpu4 GHz,cpu5 GHz,cpu6 GHz,cpu7 GHz,cpu0 governor,cpu1 governor,cpu2 governor,cpu3 governor,cpu4 governor,cpu5 governor,cpu6 governor,cpu7 governor,fan_speed (x1000),thermal0 (x10),thermal1 (x10),thermal2 (x10),thermal3 (x10),thermal4 (x10),thermal5 (x10),thermal6 (x10)
1,10,0.600384,0.600011,0.600154,0.600343,0.60019,0.60125,0.6003390000000001,0.600262,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,4.172,4.65,2.0,2.8,4.7,4.5,4.7,4.3
2,10,0.805772,0.855186,0.81378,0.80814,0.810677,0.804827,1.103529,0.816716,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,3.472,4.45,2.0,2.8,4.5,4.1,4.5,4.3
3,10,0.700313,0.700012,0.700328,0.70017,0.700229,0.701207,0.7000890000000001,0.700145,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,0.0,4.35,2.0,2.8,4.3,4.1,4.3,4.0
4,9,0.800265,0.800019,0.800198,0.800245,0.800344,0.801586,0.8002440000000001,0.8004439999999999,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,0.0,4.3,2.0,2.8,4.3,3.9,4.3,4.0
5,10,1.800261,1.800027,1.800022,1.800212,1.800096,1.800294,1.800009,1.8001880000000001,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,0.0,4.2,2.0,2.8,4.2,3.9,4.2,4.0
6,10,0.800454,0.800008,0.8005099999999999,0.800335,0.80025,0.8015019999999999,0.800337,0.800197,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,0.0,4.2,2.0,2.8,4.2,3.7,4.2,4.0
7,10,0.7000190000000001,0.700016,0.7002079999999999,0.700037,0.7002010000000001,0.701145,0.700014,0.700098,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,0.0,4.15,2.0,2.8,4.1,3.6,4.1,3.9
8,9,0.700287,0.7000069999999999,0.7002229999999999,0.700136,0.700173,0.701093,0.7002,0.700323,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,0.0,4.1,2.0,2.8,4.1,3.6,4.1,3.9
9,10,0.700168,0.700024,0.700635,0.7000460000000001,0.700016,0.70031,0.70002,0.70041,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,0.0,4.05,2.0,2.8,4.0,3.5,4.0,3.9
10,10,0.700207,0.7000109999999999,0.7002419999999999,0.700105,0.700149,0.7011029999999999,0.700309,0.700117,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,0.0,4.05,2.0,2.8,4.0,3.4,4.0,3.8
