time,round_number,time_used,performance_rps,cpu0 GHz,cpu1 GHz,cpu2 GHz,cpu3 GHz,cpu4 GHz,cpu5 GHz,cpu6 GHz,cpu7 GHz,cpu0 governor,cpu1 governor,cpu2 governor,cpu3 governor,cpu4 governor,cpu5 governor,cpu6 governor,cpu7 governor,fan_speed (x1000),thermal0 (x10),thermal1 (x10),thermal2 (x10),thermal3 (x10),thermal4 (x10),thermal5 (x10),thermal6 (x10)
2018-07-22T19:06:42+1000,1,1.000154362,0.9998456618239495,0.800344,0.8000320000000001,0.8001889999999999,0.801702,0.800073,0.798746,0.800049,0.800012,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,5.119,4.9,2.0,2.8,6.3,4.9,6.3,4.7
2018-07-22T19:06:43+1000,2,1.000591432,0.9994089175850548,0.800411,0.800016,0.800353,0.800243,0.8002509999999999,0.8012670000000001,0.800242,0.800226,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,5.076,4.85,2.0,2.8,5.8,4.9,5.8,4.6
2018-07-22T19:06:44+1000,3,1.000599413,0.999400946080707,0.800179,0.8000069999999999,0.800202,0.800239,0.800539,0.801944,0.800395,0.800196,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,4.901,4.85,2.0,2.8,5.8,4.9,5.8,4.5
2018-07-22T19:06:45+1000,4,1.000591684,0.9994086658829358,0.800449,0.800015,0.800453,0.800534,0.8002440000000001,0.8011090000000001,0.8003899999999999,0.800045,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,4.769,4.8,2.0,2.8,5.3,4.5,5.3,4.5
2018-07-22T19:06:46+1000,5,1.000601197,0.9993991642206681,0.800308,0.8000170000000001,0.800049,0.800245,0.800236,0.8008959999999999,0.800143,0.799901,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,4.68,4.75,2.0,2.8,5.3,4.5,5.3,4.5
2018-07-22T19:06:47+1000,6,1.000613619,0.999386757297374,0.700321,0.70002,0.700419,0.700299,0.700077,0.701349,0.700187,0.700258,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,4.552,4.75,2.0,2.8,4.8,4.5,4.8,4.4
2018-07-22T19:06:48+1000,7,1.000617284,0.9993830968044721,0.700059,0.7000149999999999,0.700047,0.700193,0.700286,0.70136,0.700203,0.700198,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,4.524,4.7,2.0,2.8,4.8,4.5,4.8,4.4
2018-07-22T19:06:49+1000,8,1.000618115,0.9993822668301383,0.700198,0.7000109999999999,0.700009,0.700036,0.700274,0.701406,0.7003680000000001,0.7004389999999999,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,4.484,4.65,2.0,2.8,4.8,4.5,4.8,4.3
2018-07-22T19:06:50+1000,9,1.000620217,0.9993801674306966,0.645455,0.64555,0.6660510000000001,0.645791,0.646904,0.646107,0.635084,0.6483949999999999,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,4.373,4.65,2.0,2.8,4.8,4.5,4.8,4.3
2018-07-22T19:06:51+1000,10,1.000627426,0.9993729674165456,0.600384,0.600011,0.600154,0.600343,0.60019,0.60125,0.6003390000000001,0.600262,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,4.172,4.65,2.0,2.8,4.7,4.5,4.7,4.3
2018-07-22T19:06:52+1000,11,1.000621999,0.9993783876422648,0.600314,0.6000059999999999,0.600153,0.600113,0.6004619999999999,0.607275,0.64616,0.6488769999999999,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,4.076,4.6,2.0,2.8,4.7,4.5,4.7,4.2
2018-07-22T19:06:53+1000,12,1.000617981,0.9993824006646549,0.678837,0.6537430000000001,0.643344,0.64649,0.647745,0.6338550000000001,0.698071,0.648557,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,3.994,4.6,2.0,2.8,4.6,4.5,4.6,4.3
2018-07-22T19:06:55+1000,13,1.000131633,0.999868384324966,2.251192,1.9897529999999999,2.026677,2.2250360000000002,2.196614,2.18277,2.162071,2.096027,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,3.942,4.55,2.0,2.8,4.6,4.5,4.6,4.2
2018-07-22T19:06:56+1000,14,1.000427235,0.9995729474517954,1.843909,1.931394,1.8667850000000001,1.6536980000000001,2.020842,1.767303,2.00479,1.809002,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,3.926,4.55,2.0,2.8,4.6,4.5,4.6,4.2
2018-07-22T19:06:57+1000,15,1.000311381,0.9996887159279457,1.477437,1.4614280000000002,1.225659,1.195121,1.2182739999999999,1.325863,1.213916,1.119143,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,3.861,4.5,2.0,2.8,4.6,4.5,4.6,4.2
2018-07-22T19:06:58+1000,16,1.0005731,0.9994272282554868,0.942692,0.940629,0.9306169999999999,0.92752,0.92868,0.9649289999999999,0.9312480000000001,0.923732,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,3.69,4.5,2.0,2.8,4.6,4.5,4.6,4.1
2018-07-22T19:06:59+1000,17,1.000559934,0.9994403793506287,1.3261010000000002,1.237008,1.022955,1.018284,1.0238390000000002,1.111924,1.298479,1.2561969999999998,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,3.492,4.45,2.0,2.8,4.6,4.5,4.6,4.1
2018-07-22T19:07:00+1000,18,1.000321011,0.9996790920149932,0.702203,0.751193,0.716883,0.7457699999999999,0.716844,0.735162,0.707666,0.746487,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,3.472,4.45,2.0,2.8,4.5,4.5,4.5,4.1
2018-07-22T19:07:01+1000,19,1.000426666,0.9995735159662367,0.7001430000000001,0.700014,0.7001029999999999,0.700221,0.700389,0.700921,0.700018,0.700148,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,3.472,4.45,2.0,2.8,4.5,4.5,4.5,4.0
2018-07-22T19:07:02+1000,20,1.000596868,0.9994034880389013,0.805772,0.855186,0.81378,0.80814,0.810677,0.804827,1.103529,0.816716,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,3.472,4.4,2.0,2.8,4.5,4.1,4.5,4.2
2018-07-22T19:07:03+1000,21,1.000340759,0.9996593570771418,0.700082,0.700013,0.700075,0.70012,0.700124,0.7015589999999999,0.7001040000000001,0.7002430000000001,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,3.472,4.4,2.0,2.8,4.5,4.1,4.5,4.1
2018-07-22T19:07:04+1000,22,1.000613199,0.999387176782584,0.70027,0.700012,0.7001860000000001,0.700207,0.700238,0.701307,0.7002200000000001,0.7002269999999999,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,3.472,4.4,2.0,2.8,4.4,4.1,4.4,4.0
2018-07-22T19:07:05+1000,23,1.000340039,0.9996600765872174,0.7003400000000001,0.700017,0.700123,0.700326,0.700389,0.701168,0.700097,0.700326,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,3.472,4.4,2.0,2.8,4.4,4.1,4.4,4.0
2018-07-22T19:07:06+1000,24,1.000596895,0.999403461071104,0.800218,0.800014,0.800196,0.800528,0.800396,0.8020900000000001,0.800145,0.800391,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,3.472,4.35,2.0,2.8,4.4,4.1,4.4,4.1
2018-07-22T19:07:07+1000,25,1.000610103,0.999390268998713,0.700294,0.7000080000000001,0.700168,0.700173,0.7002999999999999,0.701579,0.700432,0.7002670000000001,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,3.472,4.35,2.0,2.8,4.4,4.1,4.4,4.0
2018-07-22T19:07:08+1000,26,1.000570679,0.9994296464887714,0.978854,0.9265059999999999,0.968212,0.9572419999999999,0.9337960000000001,0.859604,0.8490059999999999,0.846502,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,3.472,4.35,2.0,2.8,4.4,4.1,4.4,4.0
2018-07-22T19:07:09+1000,27,1.000388991,0.9996111602551613,0.800312,0.800014,0.800347,0.8001950000000001,0.8001929999999999,0.802016,0.800337,0.8003490000000001,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,3.472,4.35,2.0,2.8,4.4,4.1,4.4,4.0
2018-07-22T19:07:10+1000,28,1.000615181,0.9993851972149922,0.7002390000000001,0.700013,0.7001660000000001,0.700245,0.6999489999999999,0.701341,0.7002759999999999,0.700259,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,0.0,4.35,2.0,2.8,4.3,4.1,4.3,4.0
2018-07-22T19:07:11+1000,29,1.000595018,0.9994053358358815,0.80026,0.800001,0.80015,0.800246,0.800098,0.8008379999999999,0.800377,0.800196,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,0.0,4.35,2.0,2.8,4.3,4.1,4.3,4.0
2018-07-22T19:07:12+1000,30,1.000317043,0.9996830574844061,0.700313,0.700012,0.700328,0.70017,0.700229,0.701207,0.7000890000000001,0.700145,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,0.0,4.35,2.0,2.8,4.3,4.1,4.3,4.0
2018-07-22T19:07:13+1000,31,1.000607566,0.9993928029123058,0.700139,0.700012,0.7001090000000001,0.700237,0.699977,0.701313,0.700375,0.7002010000000001,powersave,powersave,powersave,powersave,powersave,powersave,powersave,powersave,0.0,4.35,2.0,2.8,4.3,4.1,4.3,4.0
